"nazwisko imię","","życie do 1939 roku","1 wrz","1 września 1939 cd","2 wrz","3-6 wrz 1939","7 wrz","1939-1945","po wojnie","","","","","","","","","","","","","","","","","","",""
"Derlatka Jan","","","koszary","łączność, telefonista","","","","","Niemcy, żonaty z Niemką","","","","","","","","","","","","","","","","","","",""
"Dobies Marian","","","","W5","","","","","","","","","","","","","","","","","","","","","","","",""
"Dominiak Franciszek","29 sty 1914","Ur. Borowe: 51.65367, 20.78424","Prom","RKM, ewakuowany do koszar","","","ranny","","Przybyszewo","","","","","","","","","","","","","","","","","","",""
"Domoń Władysław","","","W2","","","","","uciekł z obozu jenieckiego, złapani i przywróceni","","","","","","","","","","","","","","","","","","","",""
"Dopierało Zygmunt","","ur. Warszawa, potem Lida","Prom, W1","w grupie wzmocnienia Pająka, ranny","","","","Stalag I A, obóz karny Broweg: 54.75204, 8.90133","Mieszkał w Szczecinie: 53.4271, 14.5452","","","","","","","","","","","","","","","","","","",""
"Drobek Bronisław","","","W3","","","","","Stalag I A, Nadrenia","Miejsce pochowania: Brzostków (pow. buski, gm. Nowy Korczyn). Cmentarz parafialny Parafii pw. NMP Królowej Polski","","","","","","","","","","","","","","","","","","",""
"Drożdż Władysław","","ur. Chwałowice: 50.55891, 20.61559, Kielce","W1","ranny","","","","Stalag I A, uciekł do wsi Pakostaw, gdzie ukrywał się na strychu u brata, w 1945 - Wrocław, bardzo chory wraca do siebie na wieś","Miejsce pochowania:  Iłża Cmentarz parafialny (ul. Powstania Styczniowego).","30.04.1946","","","","","","","","","","","","","","","","","",""
"Dudzic Ignacy","","","W5","karabinowy CKM","","","","","","","","","","","","","","","","","","","","","","","",""
"Dulemba (Dulęba) Józef","","","Prom (?)","","","","","(wcześniej n/n, dane uzyskane przez Stanisławę Górnikiewicz). Żołnierz WP pochowany na cmentarzu na Zaspie w pierwszej połowie września 1939 r. Pochodził ze wsi Bodzentyn położonej w województwie kieleckim.","Z portu w Neapolu popłynął do Australii i tam był na emigracji (wg Jakub Mularczyk IPN)
Z Kielecczyzny
na Westerplatte Z kielecczyzny na Westerplatte, ","","","","","","","","","","","","","","","","","","",""
"?Dymitrowicz","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"?Dunkiewicz","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Duzik Stefan","","","koszary","","","","","Westerplatte obóz, Stutthof","","","","","","","","","","","","","","","","","","","",""
"Duzik Ryszard","","","koszary","","","","","Westerplatte obóz, Stutthof","","","","","","","","","","","","","","","","","","","",""
"Dworakowski Julian","","Urodzony we wsi Zdrody Nowe, pow. Wysokie Mazowieckie: 52.94982, 22.78110","W2","kontuzjowany","","","","niewola, uciekł w 1940, działał w AK ps. Wieloryb","Gdańsk, pracownik Stoczni Gdańskiej, na emeryturze przewodnik po Wartowni nr 1. Miejsce pochowania: Gdańsk. Cmentarz Łostowicki (54.34077, 18.59569), nr kwatery 17, rząd 11, nr grobu 33.","","","","","","","","","","","","","","","","","","",""
"?Dyś Wincenty","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dzierzgowski Czesław","","","armata","","","","","","","","","","","","","","","","","","","","","","","","",""
"Falkowski Mieczysław","","","W4","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fiedorczuk Antoni","","","W4","","","","","","","","","","","","","","","","","","","","","","","","",""
"Filipkowski Czesław","","","armata","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gajda Stefan","","","koszary, moździerze","","","","","","","","","","","","","","","","","","","","","","","","",""
"?Gąsowski Jan","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gawlicki Michał","28 lis 1898","ur. Opłucko koło Łopatynia: 50.20689, 24.75409","Elektrownia","","Odprowadza rannego Magdziarza z W4 do W5","","","","W kwietniu 1945 powrócił do Gdańska, pracował w charakterze ślusarza w tutejszej Milicji Obywatelskiej. Od 1946 członek Stronnictwa Demokratycznego. Od października 1948 kontroler techniczny w ► Stoczni Gdańskiej. Od 1968 na rencie specjalnej ze względu na zły stan zdrowia.

Współzałożyciel i aktywny członek Związku Obrońców Westerplatte, organizacji wchłoniętej później przez Związek Bojowników o Wolność i Demokrację (Sekcja Westerplatczyków w Zarządzie Okręgowym ZBoWiD w Gdańsku). W 1967 brał udział w spotkaniu na Westerplatte ► prezydenta Francji Charlesa de Gaulle’a z kombatantami. W tym samym, 1967, jeden z konsultantów filmu fabularnego w reżyserii Stanisława Różewicza „Westerplatte” z 1967. Współinicjator zachowania wartowni Nr 1 na Westerplatte poprzez zmianę jej lokalizacji (7 III 1967 przesunięta o 78 m, poza teren budowanego nabrzeża portowego).do  niego pisali inni listy i organizował spotkania, zmarł w Gdańsku","28.01.1978","","","","","","","","","","","","","","","","","",""
"Gębura Jan","","ur. Połągiew: 51.01964, 21.23687","","karabinowy CKM","zginął w Wartowni nr 5","","","","","","","","","","","","","","","","","","","","","","",""
"Głowacki Feliks","","","Łazienki, W4","ranny w prawą nogę","","","","","Świerzyn (Śląsk), Trzeszków, pochowany: Chybice (pow. starachowicki, gmina Pawłów)","","","","","","","","","","","","","","","","","","",""
"Gonsawski Michał","","","moździerz","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gołąb Antoni","","","koszary, kucharz","zamienił się na buty z Okrasą","","","","","Niemcy","","","","","","","","","","","","","","","","","","",""
"Gorbacianek Kazimierz","","","","W5","","","","","","","","","","","","","","","","","","","","","","","",""
"Goryl Władysław","07.09.1910","ur. Jarosław","W4","","","","","Stalag I A","magazynier i brygadzistwa w mieście Jarosław, Pochowany:  Cmentarz Komunalny – Nowy w Jarosławiu: 50.019740, 22.655461. Sektor 15, rząd 22, nr grobu 19.","02.09.2001","","","","","","","","","","","","","","","","","",""
"Grabowski Eugeniusz","","","armata","","Sprawdza stan W5 po bombardowaniu","","","","","","","","","","","","","","","","","","","","","","",""
"Grodecki Stefan","","ur. Niedźwiedź: 49.62108, 20.07932","Koszary","","","","","Prabuty, Lienz, Saltzburg","","","","","","","","","","","","","","","","","","","",""
"Grudzień Józef I (syn Andrzeja)","","","Prom","","","","","w Sielcach nad Oką wstapił do Dywizji Kościuszkowskiej i brał udział w bitwach o Lenino, Berlin","","","","","","","","","","","","","","","","","","","",""
"!Grudzień Józef II (syn Marcina)","","","koszary, moździerze","nieobecny na Westerplatte z powodu choroby","","","","","","","","","","","","","","","","","","","","","","","",""
"Grudziński Bronisław","04.02.1911","Sławków","W2","","","","","","W czerwcu 1945 wstąpił do Wojska Polskiego. Służył w 16 Dywizji Artylerii Przeciwpancernej w Katowicach. Stamtąd w lutym 1946 przeniesiony został do 3 Brygady Pancernej do Opola. W tym czasie został awansowany na stopień sierżanta. W październiku 1948 przeniesiony do 6 Pułku Czołgów we Wrocławiu na stanowisko szefa kompanii szkolnej. Z powodu złego stanu zdrowia w grudniu 1949 został w stopniu starszego sierżanta przeniesiony w stan spoczynku.
Po zwolnieniu z wojska pracował jako referent i magazynier w Zakładach Wyrobów z Drutu w Sławkowie. Pracował tam do 1966, kiedy to przeszedł na rentę inwalidzką.
Był członkiem Związku Bojowników o Wolność i Demokrację. W 1989 otrzymał nominację na stopień podporucznika. Został pochowany 7 stycznia 1992 na cmentarzu parafialnym w Sławkowie :50.29863, 19.38962","04.01.1992","","","","","","","","","","","","","","","","","",""
"Gryczman Jan","10.11.1900","ur. Mokra Strona (Przeworsk): 50.04213, 22.49760","Prom","","","","","Wolsberg Alpy, Dobiegniew","Jarosław, Przesłuchiwany przez UB ; W marcu 1945 stanął przed komisją rejestrującą oficerów powracających z oflagów, a 27 kwietnia 1945 dołączył do szeregów ludowego Wojska Polskiego. Na mocy oświadczenia nr 174 w Rejonowej Komisji Uzupełnień w Jarosławiu otrzymał skierowanie do Oficerskiej Szkoły Intendentury w Lublinie. Po jej ukończeniu pełnił funkcję kwatermistrza w Modlinie i w pułku saperów we Włocławku. W kwietniu 1954 zakończył czynną służbę w stopniu kapitana i przeniósł się do Nowej Dęby. Mieszkał tam (przy ul. Aleja Zwycięstwa) przez ponad 20 lat, pracując w Zakładach Metalowych Dezamet oraz Spółdzielni Inwalidów „Zjednoczenie”. 7 września 1964 został awansowany do stopnia majora rezerwy.
Pod koniec lat 70. – ze względu na zły stan zdrowia – przeprowadził się do rodziny w Warszawie. Przeszedł udar mózgu, wskutek którego utracił mowę i zdolność pisania. Został mu także wszczepiony rozrusznik serca. Zmarł 18 lipca 1985 w warszawskim Domu Weterana ZBoWiD. Pochowany został na cmentarzu Bródnowskim (kw. 6 I VI 9: 52.27907, 21.03573).
Jan Gryczman był żonaty i miał dwoje dzieci: Edwarda i Irenę.","18.07.1985","","","","","","","","","","","","","","","","","",""
"?Grzywacz Gerhard","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hajduszkiewicz Jan","","","W6, kucharz","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hajkowicz Jan","","","Przystań","","","","","","","","","","","","","","","","","","","","","","","","",""
"Horbacz Bolesław","","","koszary","W5","","","","","","","","","","","","","","","","","","","","","","","",""
"Hryhorowicz Władysław","","","koszary (?)","","","","","","","","","","","","","","","","","","","","","","","","",""
"Jakubiak Władysław","","ur. Nowogród: 53.22627, 21.87687","armata","","poległ w bombardowaniu w okolicach koszar, ciało rozszarpane, znaleziono jego buty","","","","Grób symboliczny na Westerplatte, Gdańsk: 54.406968, 18.674655","","","","","","","","","","","","","","","","","","",""
"Janik Józef","","","","W5","","","","","","","","","","","","","","","","","","","","","","","",""
"Jankowicz Józef","","","koszary, moździerze","","","","","","","","","","","","","","","","","","","","","","","","",""
"Januszewski Alojzy","","elektromonter","koszary","elektromonter","","","","Razem z Deikiem sprzątali półwysep bo znali niemiecki, Westerplatte obóz, Stuthoff, śmierć","","","","","","","","","","","","","","","","","","","",""
"Jazy Jan","","zmobilizowany pracownik kontraktowy","koszary","","","","","","","","","","","","","","","","","","","","","","","","",""
"Jażdż Eugeniusz","","","Elektrownia","","","","","","","","","","","","","","","","","","","","","","","","",""
"Jezierski Stefan/Konstanty","","","poległ w W3","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kaczanowski Józef","","ur. Przecim (Prietimo):53.51664, 24.93236","Prom","w grupie wzmocnienia Pająka","W5, przeżył bombardowanie w W5, Fort","","","Stalag I A, wyrąb lasu na syberii, w Sielcach nad Oką (54.9107, 39.5127) wstapił do Dywizji Kościuszkowskiej i brał udział w bitwach o Lenino, Berlin","rewident wagonowy we wsi Czeremcha, pochowany wieś Czeremcha, Cmentarz Prawosławny, kwartał II, rząd  2, 52.5147, 23.3518","","","","","","","","","","","","","","","","","","",""
"Kałuski Zdzisław","","","koszary, Fort","","","","","","","","","","","","","","","","","","","","","","","","",""
"?Kąkol Alfons","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kita Józef","","ur. Sędziszów: 50.56469, 20.05322","","ordynans dowódcy, Willa Oficerska, W5","poległ w W5","","","","Westerplatte, Gdańsk: Westerplatte, Gdańsk: 54.406968, 18.674655","02.09.1939","","","","","","","","","","","","","","","","","",""
"Kłys Wincenty","","","armata","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kochan Bronisław","","ur. Charzewice (Stalowa Wola): 50.60375, 22.02081","","W3 - zastępca dowódcy","","","","","Pochowany w: Stalowa Wola (Rozwadów): 50.59172, 22.04750","","","","","","","","","","","","","","","","","","",""
"Kolasa Stanisław","","","Prom","po niszczeniu stanowisk moździerzy w wyniku niemieckich bombardowań został przypisany na inne stanowisko bojowe (najprawdopodobniej w okolicach zniszczonej wartowni nr 5","","","","Stalagu IA Stablack, nieudana próba ucieczki","Zmarł 9 sierpnia 1980 r. w Chełmie: 51.11901, 23.48596. Cmentarz komunalny, ul. Mościckiego, grób 19A-3-4.","","","","","","","","","","","","","","","","","","",""
"Kołtoń Czesław","","","Prom","","","","","","","","","","","","","","","","","","","","","","","","",""
"Konkiel Franciszek","","","Przystań","","","","","","","","","","","","","","","","","","","","","","","","",""
"Korko Bronisław","","","W6","","","","","","","","","","","","","","","","","","","","","","","","",""
"Korus Jan","","trębacz","koszary, W1 (?)","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kowalczyk Andrzej","","ur. Kietlin: 51.08905, 19.50829","Prom, w okolicy poległ","RKM","","","","","poległ na: Westerplatte, pochowany na cmentarzu w mieście Gdańsk (cmentarz Srebrzysko: 54.37475, 18.58174, grób niezidentyfikowany)","","","","","","","","","","","","","","","","","","",""
"Kowalik Aleksy","","","działko przeciwpancerne","ranny","","","","Luksemburg","Blachownia, tam pochowany: Blachownia (pow. częstochowski). Cmentarz parafialny (ul. Kościuszki 99).","10.07.2011","","","","","","","","","","","","","","","","","",""
"Kozak Zygmunt","","","Prom","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kręgielski Zdzisław","","ur. Skoki: 53.61143, 16.85886","Przystań","","","","","Prabuty, Lienz, Saltzburg, Dobiegniew: 52.96605, 15.75491","Pochowany w Poznaniu na cmentarzu na Junikowie: 52.38533, 16.83414","","","","","","","","","","","","","","","","","","",""
"?Kraćko Aleksander","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"?Kręcki Leon","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Krzak Mieczysław","","ur. Boiska: 51.17298, 21.76812","","","Fort, przedpole tej placówki","","","Według relacji ojca Kaczmarka (w wielu miejscach się mylił) jego ciało spalono","","09.1939","","","","","","","","","","","","","","","","","",""
"Krzeszewski Jan","","","Deik, tor kolejowy","","","","","Stuthoff, śmierć","","","","","","","","","","","","","","","","","","","",""
"Kubicki Zenon","","","W1, koszary","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kucemba Roman","","","W1","","","","","","emigracja Ameryka","","","","","","","","","","","","","","","","","","",""
"Kulczyński Stefan","","","Prom","w grupie wzmocnienia Pająka","","","","nieudana ucieczka z obozu jenieckiego","","","","","","","","","","","","","","","","","","","",""
"Kurczyk Jan","","łącznościowiec, telefonista","koszary","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kutera Józef","","","koszary, moździerze","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lelej Jan","","ur. Ugły: 51.2197, 26.4918","","","","","","","Ostróda - tu mieszkał i pracował","","","","","","","","","","","","","","","","","","",""
"Lemke Jan","","","koszary","","","","","Stuthoff, śmierć","","","","","","","","","","","","","","","","","","","",""
"Lis Franciszek","","","W4","","","","","","","","","","","","","","","","","","","","","","","","",""
"Loranty Leon","","","W4","","","","","","","","","","","","","","","","","","","","","","","","",""
"?Łajkowicz Antoni","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Łakomiec Władysław","","","","","","ranny ratuje go Słaby","","","","","","","","","","","","","","","","","","","","","",""
"Łakniewicz Antoni","","","Prom","W5","","","","","","","","","","","","","","","","","","","","","","","",""
"Łata Michał ","","","W3","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ławrynowicz Aleksander","","","działko ppanc, tor kolejowy","","","","","","","","","","","","","","","","","","","","","","","","",""
"Łojek Franciszek","","","koszary, moździerze","","","","","","","","","","","","","","","","","","","","","","","","",""
"Łomako Józef","","","Łazienki","","","","","","","","","","","","","","","","","","","","","","","","",""
"Łopatniuk Józef","","","armaty","","","","","","","","","","","","","","","","","","","","","","","","",""
"Łuczyński Edward","","","W6","","","","","obóz, zwolniony, AK Góry Świętokrzyskie","","","","","","","","","","","","","","","","","","","",""
"Maca Józef","","","Przystań","","","","","Przeżył obóz w Auschwitz ","","","","","","","","","","","","","","","","","","","",""
"Magdziarz Franciszek","","","W5","transport amunicji Koszary - W1, placówka Deika, tor kolejowy","przeżył bombardowanie w W5, ranny przybiega do koszar","koszary","","","","","","","","","","","","","","","","","","","","","",""
"Majcher Jan","26 paź 1915","ur. Kąty Stare: 50.44657, 20.93350","koszary","rozprowadzający W2","","","","Stalag 1A, szpital polowy, Gerdauen: 54.36155, 21.30429, Klein Sobrost: 54.35665, 21.91798","Kartuzy, Jeziorna 20: 54.331682, 18.198203 Miał w tym miejscu małą restaurację. Zmarł młodo na zawał serca","7 lip 1950","","","","","","","","","","","","","","","","","",""
"Malak Józef","","","Deik, tor kolejowy","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mazurkiewicz Leon","","","W4","","","","","","","","","","","","","","","","","","","","","","","","",""
"Michalik Józef","","","Prom","","","","","","","","","","","","","","","","","","","","","","","","",""
"Michałowski Kazimierz","","","Prom, W1","","","","","","","","","","","","","","","","","","","","","","","","",""
"Michniewicz Bronisław","","","Prom","w grupie wzmocnienia Pająka, W5","","","","","","","","","","","","","","","","","","","","","","","",""
"Misztalski Stefan","","ur. Siekierno (50.98122, 20.94621) na Kielecczyźnie, szybko osierocony, szkoła w Bodzentynie","Brama kolejowa","morze, ranny, w pobliżu W5, celowniczy CKM, ranny z okolic W5 przez W4 idzie do koszar","","","","Stalag I A","Kielecczyzna, pracował w piekarni i mięsnym, pochowany: Cedzyna (pow. kielecki). Cmentarz Komunalny, kwatera GM 7, rząd 9, grób 6.","","","","","","","","","","","","","","","","","","",""
"?Murawski Konstanty","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Myślisz","","","koszary","","","","","","","","","","","","","","","","","","","","","","","","",""
"Najsarek Wojciech","","ur. Jaćmierz: 49.62054, 22.01892","stacja kolejowa","","","","","","","","","","","","","","","","","","","","","","","","",""
"Naskręt Jan","","","W3","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nerć Stefan","","","gospodarstwo rolne, szpital polowy","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nidziński Bolesław","","","W3","","","","","","","","","","","","","","","","","","","","","","","","",""
"?Niekiewicz Edward","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nowak Jan","","","W6","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nowicki Józef","","","Prom","nie udało mu się zabrać rannego Kowalczyka","","","","","","","","","","","","","","","","","","","","","","","",""
"?Nowik Józef","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nowik Piotr","","","Deik, tor kolejowy","","","","","","","","","","","","","","","","","","","","","","","","",""
"Okraszewski Władysław","","ur. Skolimów (Konstancin-Jeziorna): 52.08018, 21.10701","Prom, Koszary","transport amunicki i rannych z koszar","poległ w W5, ","","","","Szczątki odnalezione w 2019 roku i pochowane w 2022 roku na Westerplatte: 54.406968, 18.674655","02.09.1939","","","","","","","","","","","","","","","","","",""
"Ortian Aleksander","","","W2","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ozorowski Antoni","06.08.1916","","Przystań","","","","","Stalag I A, nieudana próba ucieczki, Kanał Kiloński, uciekł do Danii, Szwecji, Wielkiej Brytanii","Białystok, pochowany:  Białystok. Cmentarz Farny, kwatera 84, rząd 11","31.07.1987","","","","","","","","","","","","","","","","","",""
"?Opielewicz Walerian","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pająk Leon","5.10.1909","ur. Krasna Dąbrowa: 51.49532, 21.53578","Prom","ranny, ratuje go Słaby, koszary","","operowany przez Mieczysława Słabego","","Gdańsk (szpital), Hadamar, Murnau","Kielce","","","","","","","","","","","","","","","","","","",""
"Parwicki Jan","","","","W5","","","","","","","","","","","","","","","","","","","","","","","",""
"Paszkowski Józef","","","Przystań","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pełka Józef","","","koszary","","","","","Wolsberg Alpy, Dobiegniew","Łódź","","","","","","","","","","","","","","","","","","",""
"Perucki Bronisław","","","","strzelec","","","","","","","","","","","","","","","","","","","","","","","",""
"Petzelt Adolf","","","W5","","krzyknął ""Wszyscy na dół"", poległ w W5,","","","","Szczątki odnalezione w 2019 roku i pochowane w 2022 roku na Westerplatte: 54.406968, 18.674655","02.09.1939","","","","","","","","","","","","","","","","","",""
"Pietrzak Józef","","","W3","","","","","Przeżył obóz w Auschwitz ","","","","","","","","","","","","","","","","","","","",""
"Piotrowski Leonard","","zbrojmistrz","koszary","","","","","","","","","","","","","","","","","","","","","","","","",""
"Piróg Antoni","","","W5","","Poległ podczas bombardowania, możliwe że w W5","","","nieznane miejsce pochówku","","","","","","","","","","","","","","","","","","","",""
"Plewak Michał","","Urodzony: Podhorce: 49.94001, 24.98480, Warszawa","koszary, tor kolejowy, murarz","","","","","","Podhorce, Śląsk, pochowany w Bojkowie (Gliwice): 50.25219, 18.68217","02.05.1982","","","","","","","","","","","","","","","","","",""
"Pociecha Marian","","","W4","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pokrzywka Stanisław","","ur. Świętomarz: 50.93476, 21.02998, celowniczy karabinów maszynowych","wał","","","","","","Pochowany: Bodzentyn: 50.94082, 20.96419","","","","","","","","","","","","","","","","","","",""
"Połeć Jan Władysław","","","W1","","","","","","emigracja Kanada","","","","","","","","","","","","","","","","","","",""
"Porada","","","koszary","","","","","","Niemcy","","","","","","","","","","","","","","","","","","",""
"Pożarecki","","","Fort","","","","","","","","","","","","","","","","","","","","","","","","",""
"Prutis Emilian","","","W6","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pryczek Michał","","","działko 37, tor kolejowy","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rasiński Kazimierz","","ur. Parchocin: 50.32365, 20.95865, Pracował w „Hucie Bankowej” w Dąbrowie Górniczej","Koszary","","","","","po kapitulacji K. Rasińskiego wraz z resztą załogi przetransportowano na Biskupią Górkę w Gdańsku. Zgodnie z relacją ogniomistrza Leonarda Piotrowskiego po zabraniu przez Niemców Rasińskiego na przesłuchanie ślad po nim zaginął","zabrany przez Niemców po kapitulacji, Pochowany: Gdańsk. Cmentarz na Zaspie jako ""Gracziński"" 13.09.1939 (Cmentarz Ofiar Hitleryzmu, 54.39320, 18.61573), kwatera II. Po wojnie odnaleziono jego grób na cmentarzu na Zaspie, gdzie oprócz niego spoczywa Jan Czywil – raniony 7 września 1939 roku, zmarły w wyniku ran","","","","","","","","","","","","","","","","","","",""
"Rejmer Julian","","","","","","","","obóz, zwolniony, AK Góry Świętokrzyskie","","","","","","","","","","","","","","","","","","","",""
"Repelowicz Jan","","","koszary","","","","","Stuthoff, Mauthausen śmierć","","","","","","","","","","","","","","","","","","","",""
"Rokicki Edward","","","pionier","","","","","uciekł z obozu do Szczecna, partyzantka","","","","","","","","","","","","","","","","","","","",""
"?Romarz Jan","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Romatowski Józef","","","koszary","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rybak Bolesław","","","W3","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rygielski Bernard","","","Fort","dowódca Fort","ranny podczas bombardowania","","","w obozach jenieckich","wraz z marynarką w WBR na ORP Konrad, na ORP Błyskawica (50.76325, -1.29639) wrócił do Polski w 1947, był przewodnikiem na Westerplatte w W1, pochowany: Gdańsk. Cmentarz św. Franciszka 54.34433, 18.59833, taras 5, rząd 8, nr grobu 4.","","","","","","","","","","","","","","","","","","",""
"Sadowski Antoni","","rusznikarz","koszary","","","","","","","","","","","","","","","","","","","","","","","","",""
"Salwirak Stanisław","","ur. Kostrzeszyn: 50.37084, 20.53061","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sieczko Michał","","","koszary","","","","","","","","","","","","","","","","","","","","","","","","",""
